Source,Type,Path,"Created Date"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/65/avguiadv.dll",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/65/avguiadv.dll","2009-11-09 02:53:00 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/~DF1416.tmp",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/~DF1416.tmp","2009-11-09 02:54:28 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/~DF1E24.tmp",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/~DF1E24.tmp","2009-11-09 03:01:03 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/~DF4228.tmp",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/~DF4228.tmp","2009-11-09 03:16:56 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/7F4YU7SD/Reporting[1].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/7F4YU7SD/Reporting[1].htm","2009-11-09 03:35:19 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/7F4YU7SD/footer[1].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/7F4YU7SD/footer[1].htm","2009-11-10 03:14:14 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/7F4YU7SD/toc[1].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/7F4YU7SD/toc[1].htm","2009-11-10 03:14:14 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/7F4YU7SD/mstoolbar[1].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/7F4YU7SD/mstoolbar[1].htm","2009-11-10 03:14:14 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/EGJBGFJG/prototype[2].js",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/EGJBGFJG/prototype[2].js","2009-11-09 02:52:29 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/EGJBGFJG/R79733[1].EXE",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/EGJBGFJG/R79733[1].EXE","2009-11-09 03:25:16 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/EGJBGFJG/s_code[1].js",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/EGJBGFJG/s_code[1].js","2009-11-10 02:45:08 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/EGJBGFJG/InstallStatus[1].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/EGJBGFJG/InstallStatus[1].htm","2009-11-10 03:20:13 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/EGJBGFJG/default[2].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/EGJBGFJG/default[2].htm","2009-11-10 03:14:12 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/index.dat",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/index.dat","2009-11-10 21:15:55 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/N2GK2TA1/jquery-1.2.2e[1].js",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/N2GK2TA1/jquery-1.2.2e[1].js","2009-11-09 02:51:19 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/N2GK2TA1/s_code_dell_vh20_6[1].js",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/N2GK2TA1/s_code_dell_vh20_6[1].js","2009-11-09 02:51:20 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/N2GK2TA1/default[2].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/N2GK2TA1/default[2].htm","2009-11-09 03:33:36 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/N2GK2TA1/news[1].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/N2GK2TA1/news[1].htm","2009-11-10 03:14:19 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/N2GK2TA1/OOo_3.1.1_Win32Intel_install_wJRE_en-US[1].exe",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/N2GK2TA1/OOo_3.1.1_Win32Intel_install_wJRE_en-US[1].exe","2009-11-10 02:53:28 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/N2GK2TA1/windowsupdate.microsoft[1].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/N2GK2TA1/windowsupdate.microsoft[1].htm","2009-11-09 03:33:33 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/mstoolbar[1].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/mstoolbar[1].htm","2009-11-09 03:33:40 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/osd3[1].xml",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/osd3[1].xml","2009-11-10 02:44:59 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/prototype[2].js",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/prototype[2].js","2009-11-09 02:51:29 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/resultslist[1].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/resultslist[1].htm","2009-11-09 03:39:44 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/footer[1].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/footer[1].htm","2009-11-09 03:33:40 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/blank[1].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/blank[1].htm","2009-11-09 03:33:41 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/InstallStatus[1].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/InstallStatus[1].htm","2009-11-09 03:39:38 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/default[1].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/default[1].htm","2009-11-10 03:14:13 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/toc[1].htm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/YX6N8K1L/toc[1].htm","2009-11-09 03:33:40 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/All Users/DRM/drmv2.lic",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/All Users/DRM/drmv2.lic","2009-11-09 02:30:09 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/All Users/DRM/drmv2.sst",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/All Users/DRM/drmv2.sst","2009-11-09 02:30:09 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Microsoft/Address Book/Jo.wab",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Microsoft/Address Book/Jo.wab","2009-11-17 02:10:19 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Microsoft/Address Book/Jo.wab~",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Microsoft/Address Book/Jo.wab~","2009-11-17 02:10:19 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Microsoft/CryptnetUrlCache/Content/74BFD122C0875EC75DBE5C6DB4C59019",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Microsoft/CryptnetUrlCache/Content/74BFD122C0875EC75DBE5C6DB4C59019","2009-11-13 03:50:11 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Microsoft/Internet Explorer/UserData/index.dat",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Microsoft/Internet Explorer/UserData/index.dat","2009-11-13 03:49:03 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/blocklist.xml",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/blocklist.xml","2009-11-16 20:57:30 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/compreg.dat",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/compreg.dat","2009-11-13 03:55:03 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/extensions/mozrepl@hyperstruct.net/chrome/content/espresso.el",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/extensions/mozrepl@hyperstruct.net/chrome/content/espresso.el","2009-11-13 03:55:00 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/extensions/mozrepl@hyperstruct.net/chrome/content/javascript.el",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/extensions/mozrepl@hyperstruct.net/chrome/content/javascript.el","2009-11-13 03:55:00 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/extensions/mozrepl@hyperstruct.net/chrome/content/overlay_impl.js",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/extensions/mozrepl@hyperstruct.net/chrome/content/overlay_impl.js","2009-11-13 03:55:01 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/extensions/mozrepl@hyperstruct.net/install.rdf",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/extensions/mozrepl@hyperstruct.net/install.rdf","2009-11-13 03:55:00 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/extensions.cache",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/extensions.cache","2009-11-13 03:55:01 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/extensions.ini",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/extensions.ini","2009-11-13 03:55:02 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/extensions.rdf",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/extensions.rdf","2009-11-13 03:55:02 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/formhistory.sqlite",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/formhistory.sqlite","2009-11-16 23:06:20 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/localstore.rdf",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/localstore.rdf","2009-11-17 02:10:18 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/xpti.dat",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/xpti.dat","2009-11-13 03:55:02 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/prefs.js",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/prefs.js","2009-11-17 02:10:14 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/localstore.rdf",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/Mozilla/Firefox/Profiles/4pglibt6.default/localstore.rdf","2009-11-16 23:08:46 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/OpenOffice.org/3/user/gallery/sg100.sdv",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/OpenOffice.org/3/user/gallery/sg100.sdv","2009-11-10 02:58:21 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/OpenOffice.org/3/user/gallery/sg30.sdv",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/OpenOffice.org/3/user/gallery/sg30.sdv","2009-11-10 02:58:21 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/OpenOffice.org/3/user/uno_packages/cache/log.txt",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/OpenOffice.org/3/user/uno_packages/cache/log.txt","2009-11-16 20:47:36 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Cookies/index.dat",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Cookies/index.dat","2009-11-16 21:33:25 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Cookies/jo@c.bing[1].txt",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Cookies/jo@c.bing[1].txt","2009-11-13 03:48:14 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Cookies/jo@www.bing[1].txt",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Cookies/jo@www.bing[1].txt","2009-11-13 03:48:12 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Local Settings/Application Data/Identities/{6226B2BC-C598-414A-A877-8BA23A53727D}/Microsoft/Outlook Express/Inbox.dbx",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Local Settings/Application Data/Identities/{6226B2BC-C598-414A-A877-8BA23A53727D}/Microsoft/Outlook Express/Inbox.dbx","2009-11-17 02:10:19 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Local Settings/Application Data/Identities/{6226B2BC-C598-414A-A877-8BA23A53727D}/Microsoft/Outlook Express/Outbox.dbx",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Local Settings/Application Data/Identities/{6226B2BC-C598-414A-A877-8BA23A53727D}/Microsoft/Outlook Express/Outbox.dbx","2009-11-17 02:10:19 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Local Settings/Application Data/Identities/{6226B2BC-C598-414A-A877-8BA23A53727D}/Microsoft/Outlook Express/Sent Items.dbx",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Local Settings/Application Data/Identities/{6226B2BC-C598-414A-A877-8BA23A53727D}/Microsoft/Outlook Express/Sent Items.dbx","2009-11-16 22:54:38 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Local Settings/Application Data/Microsoft/Feeds/FeedsStore.feedsdb-ms",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Local Settings/Application Data/Microsoft/Feeds/FeedsStore.feedsdb-ms","2009-11-13 03:52:20 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Local Settings/Application Data/Microsoft/Internet Explorer/Recovery/Last Active/RecoveryStore.{2D0057C4-CFF7-11DE-9E70-000BDB6358A6}.dat",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Local Settings/Application Data/Microsoft/Internet Explorer/Recovery/Last Active/RecoveryStore.{2D0057C4-CFF7-11DE-9E70-000BDB6358A6}.dat","2009-11-13 03:52:20 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Local Settings/Application Data/Microsoft/Internet Explorer/Recovery/Last Active/{2D0057C5-CFF7-11DE-9E70-000BDB6358A6}.dat",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Local Settings/Application Data/Microsoft/Internet Explorer/Recovery/Last Active/{2D0057C5-CFF7-11DE-9E70-000BDB6358A6}.dat","2009-11-13 03:52:20 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Local Settings/Application Data/Microsoft/Internet Explorer/Recovery/Last Active/{2D0057C6-CFF7-11DE-9E70-000BDB6358A6}.dat",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Local Settings/Application Data/Microsoft/Internet Explorer/Recovery/Last Active/{2D0057C6-CFF7-11DE-9E70-000BDB6358A6}.dat","2009-11-13 03:52:20 EET"
